,Date,tweet
0,2021-07-02,burnout is real but there are real ways to manage it with collaborative tech check out how 
1,2021-07-01,when you win the day australia s leading natural gas producer empowers its employees to develop apps that meet their day to day needs from conference bookings to cyclone response planning and more learn how your coworkers seem content as well word that is fair the modern day nothinker what a treasure we feel this you can dial in from anywhere who could say no to that face you last year i hate working from home today i will not go back to the office i will not 
14,2021-06-30, we appreciate the effort it is been weeks so you are saying there is a chance of course this is perfect we will wait straightforward we respect it amazing are you trying to distract us do not sweat it rain check then so on brand yes this feature from script writing to staying in touch with the cast the surface duo was the star of in the balance a five episode comedy drama now available on youtube check it out one of those days exactly always this is rude unmutes mic meow mutes mic very relaxing someone has to be first it is just a little ditty bout jack and diane us to you in a microsoft teams chat do you have time for a quick chat respond in gif format only clip art the pandemic has provoked rapid change and challenges for people and communities the resilience series rethinks our shared experiences showing how communities and technology intersect to build bridges to brighter days ahead microsoftai 
48,2021-06-29, you get it absolutely perfect love it you can not go wrong either way not too long not too short every time fair collection better get started goals would let bailey join our teams call picture this you ve built a resume using word to highlight your skills you applied for your dream job you got your dream job has positively impacted your life share your story joins meeting waits patiently for minutes to self two more minutes and i m out enjoy like good choice keep your opponent more visible stop a beauty we will also accept the duke our attendance is confirmed harness the power nothing gets past teams are you sure can not decide who we identify more with the teacher or the cat status fur the win we find notentative is effective in these situations check out in theaters and on hbo max july spacejammovie only available on the ad free plan streaming in the us only for days from its theatrical release these inspired wireless controllers more which do you pick gather round this episode of explanimators breaks down synthetic biology 
88,2021-06-28, you and us both wfh goals not a problem which powerful gif was this clever happy little trees impressive love that for you we mom insert surprise reaction here nicely done we believe in you you deserve this win learn more about liat as she talks through leadership allyship and the powerful advocacy work of communities across microsoft corporate vice president for modern life search and devices opens up about her journey in tech in this candid conversation with a scotland s orkney islands read more about project natick a shipping container size underwater datacenter q where in the world are we do not forget to see space jam a new legacy in theaters and on hbo max july spacejammovie only available on the ad free plan streaming in the us only for days from its theatrical release in learns that saving the day is as much about knowing the code as it is knowing the court we re teaming up with to help students learn the tech skills they need to take on challenges and build their own legacies 
108,2021-06-25,learn how humana is using microsoft power bi and azure to lift its members out of food insecurity which experts define as lacking reliable access to affordable nutritious meals check out the basics on your to do list learn excel with curiosity and technology six pioneering artists explore the spirit of being check out the new immersive gallery experience available globally through mobile laptop and vr find out more 
112,2021-06-24, thanks for double checking we will be there nita it is treat o clock yes you are living in oops let is take it from the top very magical sigh x windows extra windows x windows windows x windows windows windows x windows x windows windows windows x windows yup the math checks out this photo contains a hidden message our pride event kicks off today at am pt with guests indya moore alok pidgeon pagonis cecilia chung jessica stern taylor alxndr dotte comm kate reyner amp more learn from those who are actively working together across groups to help drive change started from the bottom now we re here windows 
126,2021-06-23, did we yes the future is now it had something to do with a dancing pigeon barely noticeable love it what does the future of retail hold as global consumers change their shopping behaviors check out these predictions to subject join our pride event where we will center on intersectionality and come together across communities to help drive change guests include indya moore alok pidgeon pagonis cecilia chung jessica stern taylor alxndr dotte comm kate reyner and more can not wait beautiful one minute longer and we would have had to ping her really quick norm a true global endeavor you could say it was ca strophic mood reschedule that meeting how about a bird but in microsoft colors the games you want with the people you want anywhere you want play your way read through their chat and discover more about how leaders at microsoft model change every day and executive co sponsors of the global lgbtqi employees and allies at microsoft employee resource group got together for a personal conversation about leadership allyship intersectional identities and bias joins meeting mutes mic types hi in chat also sends gif to explain current mood 
158,2021-06-22, same every time exquisite send an egift via the app in microsoft teams would anyone like some coffee or tea racer is a brand of high performance gloves for athletes that was founded in check out how collaborative technology like microsoft teams gives their business the upper hand clip art agreed can you make us something twinning you are doing wfh right amazing dino deserves a treat one man is trash is another man is treasure or in this case business insights learn how australia s largest waste management business is innovating with data join us on at am pt for a virtual microsoft pride discussion on lgbtqi rights racial equity intersectionality representation and more dog stretches you big stretch microsoft teams your microphone is muted 
180,2021-06-19,on microsoft employees globally have been encouraged to spend the day exploring learning amp engaging in addition to our company wide work to address racial injustice amp inequity this is one of many ways we ensure we are also doing the individual work necessary for change good intentions alone don t make real progress regardless of background or experience our work in diversity amp inclusion begins here take a course that introduces the concept of unconscious bias and how it affects our experience in the workplace and decisions we make take a course to explore the concept of allyship it offers practical suggestions to increase self awareness and continue our journeys as aspiring allies dr stephanie j creary wharton school assistant professor addresses the need to explore privilege and marginalization in the context of identity and the importance of understanding our own identity as we work to include others ucla and columbia law school professor kimberl crenshaw coined the term intersectionality to describe overlapping social identities learn how different types of inequities can compound and how it can fuel bias and discrimination juneteenth also known as freedom day commemorates june the day the last remaining enslaved african americans in the us were made aware of the signing of the emancipation proclamation more than two years prior this juneteenth we invite you to explore content to learn new concepts understand the lived experiences of people with many different individual and intersecting identities and reflect on how to turn ideas into action 
